name,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,loc,numParameters,numAttr,numMethods,setters,getters,isCollection,isAbstractClass,numWordName,isOrEr,isController,numImports,numOutboundInv,numIfs,isClassRes
RTAbstractLine,public,30,6,7,128,26,3,37,2,1,false,true,3,false,false,15,31,1,false
RTAbstractLineDecorationTest,private,1,4,4,43,0,2,5,0,0,false,true,5,false,false,9,33,0,false
RTAbstractLineDecorator,private,3,1,1,15,2,1,4,0,0,false,true,4,true,false,3,1,0,false
RTAbstractLineLayout,private,19,10,10,105,13,8,29,6,4,false,true,4,false,false,3,6,1,false
RTAbstractMenuEntry,private,5,3,5,54,0,0,10,0,0,false,true,4,false,false,5,14,3,false
RTAbstractMorphingView,private,4,5,8,47,6,4,12,1,1,false,true,4,false,false,7,30,0,false
RTAbstractMultiElement,private,9,5,5,56,8,2,14,1,0,false,true,4,false,false,3,10,1,false
RTAbstractMultipleData,private,15,2,2,116,10,5,17,1,2,false,true,4,false,false,8,44,1,false
RTAbstractNarrowArrow,private,0,0,0,5,0,0,0,0,0,false,true,4,false,false,1,0,0,false
RTAbstractNormalizer,private,3,0,0,14,2,1,3,1,1,false,true,3,true,false,2,0,0,false
RTAbstractPlugin,public,11,4,4,68,1,0,15,0,0,false,true,3,false,false,4,35,2,false
RTAbstractPluginTest,private,0,5,5,39,0,0,5,0,0,false,true,4,false,false,3,15,0,false
RTAbstractPopup,public,9,2,5,126,13,0,14,0,0,false,true,3,false,false,9,30,5,false
RTAbstractRegularTreeLayout,public,11,3,10,99,13,7,21,5,3,false,true,5,false,false,4,26,3,false
RTAbstractScrollBuilder,private,23,8,14,154,14,11,37,9,11,false,true,4,true,false,5,53,5,false
RTAbstractShorterDistanceAttachPoint,private,2,4,4,30,9,0,6,0,0,false,true,6,false,false,3,14,1,false
RTAbstractStackedDataSet,private,8,4,4,124,16,0,12,0,0,false,true,5,false,false,8,79,1,false
RTAbstractSunburstLayout,private,7,1,5,44,6,4,12,4,4,false,true,4,false,false,3,6,1,false
RTAbstractTickLineDecorator,private,9,0,0,25,2,1,9,0,1,false,true,5,true,false,2,2,0,false
RTAbstractTreeBuilder,private,19,2,4,174,28,3,23,3,2,false,true,4,true,false,4,34,1,false
RTAbstractValuesDecorator,private,5,0,0,39,2,2,5,2,2,false,true,4,true,false,2,0,0,false
RTAbstractVerticalTreeLayout,public,9,0,0,57,6,0,9,0,0,false,true,5,false,false,5,28,2,false
RTAbstractVerticalValuesDecorator,private,8,0,0,30,1,1,8,1,1,false,true,5,true,false,3,8,0,false
RTAbstractViewContext,public,13,3,3,62,6,2,16,2,0,false,true,4,false,false,5,17,1,false
RTAbstractWeightedCircleLayout,private,1,0,1,16,2,0,2,0,0,false,true,5,false,false,2,3,0,false
RTAbstractWorldMenu,private,2,2,2,32,2,0,4,0,0,false,true,4,false,false,4,7,0,false
RTAbstractZoomMove,private,7,0,0,30,4,2,7,0,0,false,true,4,false,false,5,15,0,false
RTAccelerationMove,public,1,0,0,15,3,0,1,0,0,false,false,3,false,false,4,7,0,true
RTActiveAnimation,public,7,2,2,31,3,4,9,2,2,false,false,3,false,false,3,9,1,true
RTAddElementAnimation,public,7,1,1,50,4,6,8,1,1,false,false,4,false,false,5,31,1,true
RTAlignment,public,11,5,5,88,5,0,16,0,0,false,false,2,false,false,2,76,10,true
RTAlignmentTest,private,1,6,6,66,0,1,7,0,0,false,false,3,false,false,8,66,0,true
RTAnchorConstraint,public,12,11,11,138,9,8,23,6,4,false,false,3,false,false,12,96,5,true
RTAnimatedScatterPlot,public,16,14,14,194,17,13,30,1,5,false,false,4,false,false,19,102,1,true
RTAnimatedScatterPlotExample,public,1,6,6,706,0,0,7,0,0,false,false,5,false,false,5,36,0,true
RTAnimatedScatterPlotTest,private,2,0,0,11,0,1,2,0,0,false,false,5,false,false,3,3,0,true
RTAnimation,private,7,0,0,19,3,2,7,1,0,false,false,2,false,false,2,1,0,true
RTAnimationExample,public,2,14,14,495,2,0,16,0,0,false,false,3,false,false,18,128,1,true
RTAnimationTest,private,0,2,2,30,0,0,2,0,0,false,false,3,false,false,5,13,0,true
RTAnnounceableObject,public,22,2,2,87,22,2,24,0,1,false,false,3,false,false,4,19,1,true
RTApplicationMatrix,public,10,1,1,95,4,1,11,0,0,false,false,3,false,false,10,33,0,true
RTApplicationMatrixTest,private,1,3,3,50,0,1,4,0,0,false,false,4,false,false,6,20,0,true
RTArc,public,14,8,8,68,17,4,22,4,0,false,false,2,false,false,4,10,1,true
RTArcLine,public,14,2,2,64,10,2,16,1,2,false,false,3,false,false,11,13,2,true
RTAreaBuilder,public,11,3,3,89,13,12,14,0,7,false,false,3,true,false,6,16,2,true
RTAreaDecorator,public,6,0,0,47,2,2,6,2,2,false,false,3,true,false,5,16,0,true
RTArrowedLine,public,13,3,3,58,10,1,16,1,1,false,false,3,false,false,9,13,2,true
RTArrowedLineTest,private,0,1,1,13,0,0,1,0,0,false,false,4,false,false,4,5,0,true
RTAttachPoint,private,9,2,4,65,9,1,13,0,1,false,false,3,false,false,4,24,6,true
RTAttachPointTest,private,2,9,9,131,0,5,11,0,0,false,false,4,false,false,11,119,0,true
RTAutomaticFlowLayout,private,2,0,0,12,1,1,2,0,0,false,false,4,false,false,4,8,0,true
RTAverageDecorator,public,1,0,0,16,0,0,1,0,0,false,false,3,true,false,2,5,1,true
RTAvispaPlugin,private,4,0,0,22,0,0,4,0,0,false,false,3,false,false,5,6,0,true
RTAxisAdaptedBuilder,public,11,12,12,102,16,8,23,4,4,false,false,4,true,false,6,47,0,true
RTAxisAdaptedBuilderExample,private,1,10,10,310,0,8,11,0,0,false,false,5,false,false,11,62,0,true
RTAxisConfiguration,public,56,10,10,248,26,20,66,16,14,false,false,3,false,false,4,26,3,true
RTAxisConfigurationTest,private,2,28,28,147,0,1,30,0,0,false,false,4,false,false,6,73,0,true
RTAxisRenderer,public,13,12,12,133,21,2,25,2,2,false,false,3,true,false,6,75,4,true
RTBarLabelFactory,public,10,1,1,46,5,5,11,4,4,false,false,4,false,false,4,6,0,true
RTBenchmarks,private,0,6,6,88,0,0,6,0,0,false,false,2,false,false,13,67,0,true
RTBezier3Line,public,4,4,4,78,8,1,8,1,1,false,false,4,false,false,6,32,6,true
RTBezier3LineTest,private,0,1,1,26,0,0,1,0,0,false,false,5,false,false,7,13,0,true
RTBezier4Line,public,3,0,0,20,2,0,3,0,0,false,false,4,false,false,4,5,1,true
RTBezierLine,public,20,4,4,247,22,3,24,3,2,false,false,3,false,false,8,93,10,true
RTBezierLineTest,private,0,13,13,192,0,0,13,0,0,false,false,4,false,false,15,154,0,true
RTBitmap,public,5,0,0,28,4,1,5,1,0,false,false,2,false,false,3,4,2,true
RTBitmapExamples,private,1,2,2,42,0,0,3,0,0,false,false,3,false,false,7,16,0,true
RTBlink,public,23,6,6,100,30,1,29,1,1,false,false,2,false,false,5,45,7,true
RTBlinkTest,private,0,2,2,35,0,0,2,0,0,false,false,3,false,false,6,19,0,true
RTBorderAttachPoint,public,7,1,1,64,11,1,8,0,1,false,false,4,false,false,4,30,3,true
RTBorderAttachPointTest,private,1,5,5,71,0,2,6,0,0,false,false,5,false,false,14,52,0,true
RTBorderStyle,public,3,3,3,66,1,1,6,1,0,false,false,3,false,false,2,0,1,true
RTBoundedShapeBuilder,public,3,1,1,16,3,0,4,0,0,false,false,4,true,false,3,3,1,true
RTBounds,public,3,0,0,31,4,3,3,0,0,false,false,2,false,false,4,10,3,true
RTBox,public,5,0,0,26,4,1,5,0,0,false,false,2,false,false,4,10,1,true
RTBoxPlotDataSet,public,10,9,9,194,12,7,19,6,3,false,false,5,false,false,8,85,3,true
RTBoxPlotExample,private,1,14,14,324,0,0,15,0,0,false,false,4,false,false,9,130,0,true
RTBoxPlotItem,public,13,8,8,124,4,12,21,11,2,false,false,4,false,false,4,39,9,true
RTBrushInteraction,public,10,5,5,69,9,6,15,3,4,false,false,3,false,false,11,28,1,true
RTBucketColor,public,10,4,4,80,10,4,14,0,3,false,false,3,true,false,9,46,1,true
RTBucketColorTest,private,0,2,2,36,0,0,2,0,0,false,false,4,false,false,4,22,0,true
RTBuilder,public,25,11,17,145,17,6,42,2,4,false,false,2,true,false,7,23,0,true
RTBundleBuilder,public,15,7,7,165,17,11,22,4,2,false,false,3,true,false,17,109,3,true
RTBundleExample,private,2,9,9,917,0,0,11,0,0,false,false,3,false,false,12,63,1,true
RTCPDiverging,public,2,0,0,10,0,0,2,0,0,false,false,2,false,false,3,1,0,true
RTCPPAnalysisPlugin,private,4,0,0,18,0,0,4,0,0,false,false,3,false,false,3,2,0,true
RTCPQualitative,public,2,0,0,11,0,0,2,0,0,false,false,2,false,false,3,1,0,true
RTCPSequential,public,2,0,0,12,0,0,2,0,0,false,false,2,false,false,3,1,0,true
RTCache,public,7,6,6,110,18,3,13,0,0,false,false,2,false,false,11,74,3,true
RTCacheTest,private,0,1,1,22,0,0,1,0,0,false,false,3,false,false,9,16,0,true
RTCalendarBuilder,public,14,10,10,182,7,12,24,12,4,false,false,3,true,false,15,77,6,true
RTCalendarExample,private,1,14,14,607,0,0,15,0,0,false,false,3,false,false,15,165,3,true
RTCanvasExporter,public,11,7,7,98,8,6,18,0,3,false,false,3,true,false,6,51,1,true
RTCell,private,12,5,5,67,8,6,17,3,3,false,false,2,false,false,5,30,0,true
RTCellLayout,public,3,2,2,68,2,3,5,0,1,false,false,3,false,false,3,23,2,true
RTCellLayoutTest,private,0,2,2,17,0,0,2,0,0,false,false,4,false,false,6,11,0,true
RTCellMatrix,public,7,0,0,32,10,3,7,0,0,false,false,3,false,false,3,16,3,true
RTCenteredAttachPoint,public,2,0,0,9,2,0,2,0,0,false,false,4,false,false,2,4,0,true
RTChatWithUs,private,1,3,3,55,1,0,4,0,0,false,false,4,false,false,10,23,0,true
RTCircleAttachPoint,private,3,2,2,54,10,0,5,0,0,false,false,4,false,false,6,54,4,true
RTCircleGeometry,public,8,0,0,46,7,2,8,2,0,false,false,3,false,false,4,20,2,true
RTCircleGeometryTest,private,0,5,5,36,0,1,5,0,0,false,false,4,false,false,5,21,0,true
RTCircleLayout,public,2,0,0,21,2,0,2,0,0,false,false,3,false,false,4,6,0,true
RTCircleLayoutTest,private,0,1,1,8,0,0,1,0,0,false,false,4,false,false,3,1,0,true
RTCircleTree,public,14,0,0,61,16,3,14,3,0,false,false,3,false,false,4,27,2,true
RTCircularTreeMapBuilder,public,7,9,9,153,22,1,16,1,1,false,false,5,true,false,13,76,7,true
