name,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,loc,numParameters,numAttr,numMethods,setters,getters,isCollection,isAbstract,numWordName,isOrEr,isController,numImports,numOutboundInv
CatalogBrowser,public,6,17,17,176,18,1,27,0,0,false,false,2,true,false,12,105
CatalogCommandLineHandler,private,3,2,2,32,1,2,7,0,0,false,false,4,true,false,4,15
CatalogProject,public,15,4,4,136,8,6,27,6,0,false,false,2,false,false,9,47
CatalogProvider,public,2,4,4,57,0,3,9,0,0,false,false,2,true,false,10,25
CatalogSettings,public,0,0,0,43,0,0,6,0,0,false,false,2,false,false,2,0
